"","country","year","cic","country_code","gdp","cd","log_cd","log_cic","interest_rates_imf","country_code.y","tax_gdp","uncertainty","eci","eci_2","overall_score","property_rights","government_integrity","judicial_effectiveness","tax_burden","government_spending","business_freedom","monetary_freedom","trade_freedom","investment_freedom","financial_freedom","region"
"1","Chile",1997,1.242011e+12,"CHL",3.56e+13,0.0348879494382022,-3.35561379770315,27.8477529560834,6.5,"CHL",15.92535405,0.01613945,-0.22503,-0.048787,75.9,90,"79.0","N/A",73.5,86.6,85,75.6,"73.0","70.0",50,"Latin America and The Caribbean"
"2","Chile",1998,1.253291e+12,"CHL",3.75e+13,0.0334210933333333,-3.39856804140886,27.8567940074961,8.33,"CHL",15.85207689,0.0658058,-0.123718,0.010442,74.9,90,"68.0","N/A",73,88.1,85,77.1,"73.0","70.0",50,"Latin America and The Caribbean"
"3","Chile",1999,1.616025e+12,"CHL",3.82e+13,0.0423043193717277,-3.16286608533626,28.1109905462048,5,"CHL",15.17975701,0,-0.122233,-0.044724,74.1,90,"61.0","N/A",73,87.1,85,78.7,"73.0","70.0",50,"Latin America and The Caribbean"
"4","Australia",2001,2.6784e+10,"AUS",7.05e+11,0.0379914893617021,-3.2703931085052,24.0110705312535,4.25,"AUS",24.82193156,0.087171975,-0.06647,0.354003,77.4,90,"87.0","N/A",55.4,67.3,70,87.9,"79.0","70.0",90,"East Asia and Pacific"
"5","Bangladesh",2001,1.38209e+11,"BGD",2.91e+12,0.0474945017182131,-3.04714132794225,25.6520328691697,6,"BGD",6.611160271,0.0390488,-0.995853,-1.00205,51.2,30,"23.0","N/A",77.3,93.3,40,68.6,"48.8","50.0",30,"South Asia"
"6","Belarus",2001,55360740.75,"BLR",1717320000,0.0322367064670533,-3.43464952329118,17.8293812497839,66,"BLR",15.75466424,0.0629974,0.842052,0.810419,38,30,"34.0","N/A",66,41.9,40,0,"70.2","30.0",30,"Europe and Central Asia"
"7","Brazil",2001,3.7668e+10,"BRA",1.32e+12,0.0285363636363636,-3.5565760879326,24.3520767645942,19,"BRA",14.55976349,0.373970075,0.512734,0.613724,61.9,50,"41.0","N/A",87,71.2,70,81.3,"57.0","50.0",50,"Latin America and The Caribbean"
"8","Canada",2001,38820619000,"CAN",1.14e+12,0.0340531745614035,-3.37983201838583,24.3822173599491,2.25,"CAN",14.23159039,0.331473975,0.864428,1.14843,71.2,90,"92.0","N/A",41.5,47.1,85,87.2,"77.8","50.0",70,"North America"
"9","Chile",2001,1.689024e+12,"CHL",4.51e+13,0.0374506430155211,-3.28473139919245,28.1551719632447,6.5,"CHL",16.03355182,0.101789875,-0.097452,-0.151169,75.1,90,"69.0","N/A",73.7,84.1,85,82.4,"71.6","70.0",50,"Latin America and The Caribbean"
"10","Denmark",2001,4.7298e+10,"DNK",1.37e+12,0.0345240875912409,-3.36609800751634,24.5797338482522,3.25,"DNK",30.16719583,0.18733965,1.56798,1.19998,68.3,90,"100.0","N/A",31.6,0,85,90.3,"78.0","70.0",70,"Europe and Central Asia"
"11","Ghana",2001,328520000,"GHA",3807070000,0.0862920828878902,-2.45001742452297,19.6101082768363,27,"GHA",17.19292789,0.094795675,-1.17101,-1.60169,58,50,"33.0","N/A",73,84.1,55,71,"56.0","50.0",50,"Sub-Saharan Africa"
"12","Israel",2001,16853627136,"ISR",5.5e+11,0.0306429584290909,-3.48535238429658,23.5478317308763,5.6571,"ISR",26.68944428,0.320232175,1.19289,1.10295,66.1,70,"68.0","N/A",53.1,30.9,70,80,"83.0","90.0",50,"Middle East and North Africa"
"13","Moldova",2001,1967344168,"MDA",19051531000,0.103264360643772,-2.27046297067435,21.3999503320696,13,"MDA",12.17120031,0.104649425,-0.058476,0.234091,54.9,50,"26.0","N/A",54.5,76.5,55,55.9,"76.4","50.0",50,"Europe and Central Asia"
"14","New Zealand",2001,3059725711.04,"NZL",1.29e+11,0.0237188039615504,-3.74148712933004,21.841591111978,4.75,"NZL",28.55763254,0.300484175,0.255177,0.402943,81.1,90,"94.0","N/A",62.5,49.6,85,91.2,"78.0","90.0",90,"East Asia and Pacific"
"15","South Africa",2001,36138850000,"ZAF",1.05e+12,0.0344179523809524,-3.36917697919106,24.3106343009069,9.5,"ZAF",24.18558057,0.2287649,0.102827,0.520214,63.8,50,"50.0","N/A",65,78.1,70,79.6,"61.0","70.0",50,"Sub-Saharan Africa"
"16","Switzerland",2001,33168600000,"CHE",4.7e+11,0.0705714893617021,-2.65112904944926,24.2248694822013,2.25,"CHE",9.210830796,0.2627937,2.24412,1.54162,76,90,"89.0","N/A",80.1,22,70,90.2,"83.0","70.0",90,"Europe and Central Asia"
"17","Thailand",2001,4.90239e+11,"THA",5.35e+12,0.0916334579439252,-2.38995881259719,26.9181588642393,2.25,"THA",13.07018898,0.181096625,0.393173,0.862254,68.9,70,"32.0","N/A",75.4,90.3,70,84.6,"77.6","70.0",50,"East Asia and Pacific"
"18","United Kingdom",2001,2.6186e+10,"GBR",1.13e+12,0.0231734513274336,-3.76474799490082,23.988490753752,4,"GBR",25.79076589,0.14887745,1.9704,1.38257,77.6,90,"86.0","N/A",61.7,52,85,85.7,"78.0","70.0",90,"Europe and Central Asia"
"19","United States",2001,6.11757e+11,"USA",1.06e+13,0.0577129245283019,-2.85227413526009,27.1396009817865,1.8306,"USA",11.858072,0.24732305,1.85189,1.38967,79.1,90,"75.0","N/A",63.5,71.2,85,85.9,"81.0","70.0",90,"North America"
