"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Switzerland","2019","Total","Both Sexes","Estimate - de jure","Provisional figure","2019","8514000","1"
"Switzerland","2018","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","8544527","1"
"Switzerland","2018","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","8507202","1"
"Switzerland","2018","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","7213978","1"
"Switzerland","2018","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","7241546","1"
"Switzerland","2017","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","8451840","1,2"
"Switzerland","2017","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","8484130","1"
"Switzerland","2017","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","7191266","1"
"Switzerland","2016","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","8373338","1"
"Switzerland","2016","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","8419550","1"
"Switzerland","2016","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","7119751","1"
"Switzerland","2016","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2016","7078247","1"
"Switzerland","2015","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","8282396","1"
"Switzerland","2015","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","8327126","1"
"Switzerland","2015","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","7036743","1"
"Switzerland","2015","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2016","6997928.5","1"
"Switzerland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","8188648.5","1"
"Switzerland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","8237666","1"
"Switzerland","2014","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","6959114","1,3"
"Switzerland","2014","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2017","6033395.5","1,3"
"Switzerland","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","8089345.5",""
"Switzerland","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","8139631","1"
"Switzerland","2013","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","5997762","1"
"Switzerland","2013","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2017","5958174",""
"Switzerland","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","7996861",""
"Switzerland","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","8039060",""
"Switzerland","2012","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","5928697",""
"Switzerland","2012","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2017","5887939",""
"Switzerland","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2012","8035391",""
"Switzerland","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","7954662",""
"Switzerland","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","7912398",""
"Switzerland","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","7954662",""
"Switzerland","2011","Urban","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2012","5920706",""
"Switzerland","2011","Urban","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","5864015",""
"Switzerland","2011","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2017","5823815.5",""
"Switzerland","2011","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","5864015",""
"Switzerland","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","7785806",""
"Switzerland","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","7824909",""
"Switzerland","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","7870134",""
"Switzerland","2010","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2019","5798702",""
"Switzerland","2009","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7743832",""
"Switzerland","2009","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5699003",""
"Switzerland","2008","Total","Both Sexes","Estimate - de jure","Final figure, complete","2008","7593494",""
"Switzerland","2008","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","7647675",""
"Switzerland","2008","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5622042",""
"Switzerland","2007","Total","Both Sexes","Estimate - de jure","Final figure, complete","2008","7508739",""
"Switzerland","2007","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","7551117",""
"Switzerland","2007","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5543848",""
"Switzerland","2006","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7483935",""
"Switzerland","2006","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5489614",""
"Switzerland","2005","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7437116",""
"Switzerland","2005","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5452361",""
"Switzerland","2004","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7389626",""
"Switzerland","2004","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5414867",""
"Switzerland","2003","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7339002",""
"Switzerland","2003","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5375076",""
"Switzerland","2002","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7284754",""
"Switzerland","2002","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5331445",""
"Switzerland","2001","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7226647",""
"Switzerland","2001","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5282037",""
"Switzerland","2000","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2004","7288010",""
"Switzerland","2000","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2004","7287357",""
"Switzerland","2000","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7184250",""
