date,$1 notes,$2 notes,$5 notes,$10 notes,$20 notes,small,$50 notes,$100 ,large,All banknotes,dec,small,large,total,
1984-12-26T00:00:00Z,NA,195.792111,212.577635,591.909475,2630.006202,3630.285423,3856.3679,1316.9806,5173.3485,8803.633923,TRUE,"3,630,285,423.00","5,173,348,500.00","8,803,633,923.00","8,803,633,923.00"
1985-12-25T00:00:00Z,NA,199.208171,224.391585,598.649366,2640.159117,3662.408239,3854.491925,2154.6439,6009.135825,9671.544064,TRUE,"3,662,408,239.00","6,009,135,825.00","9,671,544,064.00","9,671,544,064.00"
1986-12-31T00:00:00Z,NA,189.96017,226.132713,578.998011,2507.598627,3502.689521,3768.13545,2851.8557,6619.99115,10122.68067,TRUE,"3,502,689,521.00","6,619,991,150.00","10,122,680,670.00","10,122,680,671.00"
1987-12-30T00:00:00Z,NA,199.170915,241.771763,619.037216,2657.437593,3717.417487,4057.337419,3715.2333,7772.570719,11489.98821,TRUE,"3,717,417,487.00","7,772,570,719.00","11,489,988,210.00","11,489,988,206.00"
1988-12-28T00:00:00Z,NA,NA,264.463615,725.399766,2880.584391,3870.447772,4366.84213,4725.2461,9092.08823,12962.536,TRUE,"3,870,447,772.00","9,092,088,230.00","12,962,536,000.00","12,962,536,002.00"
1989-12-27T00:00:00Z,NA,NA,243.420218,829.071708,2683.786575,3756.278501,4686.687459,5364.77885,10051.46631,13807.74481,TRUE,"3,756,278,501.00","10,051,466,309.00","13,807,744,810.00","13,807,744,810.00"
1990-12-26T00:00:00Z,NA,NA,254.28754,742.769252,2401.103589,3398.160381,5539.44812,6200.59785,11740.04597,15138.20635,TRUE,"3,398,160,381.00","11,740,045,970.00","15,138,206,350.00","15,138,206,351.00"
1991-12-25T00:00:00Z,NA,NA,269.410402,600.499912,2243.716229,3113.626543,6139.537745,6816.8045,12956.34225,16069.96879,TRUE,"3,113,626,543.00","12,956,342,245.00","16,069,968,790.00","16,069,968,788.00"
1992-12-30T00:00:00Z,NA,NA,308.234462,596.739467,2050.681479,2955.655408,6658.382995,7291.6169,13949.9999,16905.6553,TRUE,"2,955,655,408.00","13,949,999,895.00","16,905,655,300.00","16,905,655,303.00"
1993-12-29T00:00:00Z,NA,NA,321.90068,669.079987,2055.075949,3046.056616,7282.144195,7865.392877,15147.53707,18193.59369,TRUE,"3,046,056,616.00","15,147,537,072.00","18,193,593,690.00","18,193,593,688.00"
1994-12-28T00:00:00Z,NA,NA,340.730558,658.634617,2122.645853,3122.011028,7827.243585,8524.623383,16351.86697,19473.878,TRUE,"3,122,011,028.00","16,351,866,968.00","19,473,878,000.00","19,473,877,996.00"
1995-12-27T00:00:00Z,NA,NA,359.248048,630.760357,2136.247184,3126.255589,8297.94751,8957.838397,17255.78591,20382.0415,TRUE,"3,126,255,589.00","17,255,785,907.00","20,382,041,500.00","20,382,041,496.00"
1996-12-25T00:00:00Z,NA,NA,366.8100275,636.661847,2073.890059,3077.361934,9428.883305,8338.508197,17767.3915,20844.75344,TRUE,"3,077,361,933.50","17,767,391,502.00","20,844,753,440.00","20,844,753,435.50"
1997-12-31T00:00:00Z,NA,NA,372.6138775,648.039257,1964.182529,2984.835664,9842.852355,9083.875747,18926.7281,21911.56377,TRUE,"2,984,835,663.50","18,926,728,102.00","21,911,563,770.00","21,911,563,765.50"
1998-12-30T00:00:00Z,NA,NA,391.7088875,670.523002,2038.351649,3100.583539,10892.6802,10123.46212,21016.14232,24116.72586,TRUE,"3,100,583,538.50","21,016,142,320.00","24,116,725,860.00","24,116,725,858.50"
1999-12-29T00:00:00Z,NA,NA,421.5812725,711.823557,2336.226629,3469.631459,13131.52544,11517.10737,24648.63281,28118.26427,TRUE,"3,469,631,458.50","24,648,632,810.00","28,118,264,270.00","28,118,264,268.50"
2000-12-27T00:00:00Z,NA,NA,436.0075975,677.883042,2229.641899,3343.532539,13135.25444,11991.03362,25126.28806,28469.8206,TRUE,"3,343,532,538.50","25,126,288,060.00","28,469,820,600.00","28,469,820,598.50"
2001-12-26T00:00:00Z,NA,NA,564.3776675,849.456717,3035.740999,4449.575384,16053.47587,13207.77202,29261.24789,33710.82327,TRUE,"4,449,575,383.50","29,261,247,890.00","33,710,823,270.00","33,710,823,273.50"
2002-12-25T00:00:00Z,NA,NA,538.4596825,832.653417,2917.187119,4288.300219,16738.22292,13565.57392,30303.79684,34592.09706,TRUE,"4,288,300,218.50","30,303,796,840.00","34,592,097,060.00","34,592,097,058.50"
2003-12-31T00:00:00Z,NA,NA,549.7131475,826.839807,2937.005399,4313.558354,17301.20147,14174.89438,31476.09585,35789.6542,TRUE,"4,313,558,353.50","31,476,095,850.00","35,789,654,200.00","35,789,654,203.50"
2004-12-29T00:00:00Z,NA,NA,577.7119095,876.826749,2920.756207,4375.294866,18370.29497,15074.13039,33444.42536,37819.72022,TRUE,"4,375,294,865.50","33,444,425,360.00","37,819,720,220.00","37,819,720,225.50"
2005-12-28T00:00:00Z,NA,NA,584.3149525,892.536207,3035.906538,4512.757698,19323.19744,15841.58913,35164.78657,39677.54427,TRUE,"4,512,757,697.50","35,164,786,570.00","39,677,544,270.00","39,677,544,267.50"
