country,date,500,200,100,50,large,20,10,5,small,dec,total
Euro Area,2002,83431668000,24169685000,67317071000,1.21735E+11,2.96654E+11,39495290000,16432912000,5952856000,61881058000,TRUE,3.58535E+11
Euro Area,2003,1.19237E+11,27085528000,80976703000,1.44819E+11,3.72118E+11,41075021000,16846047000,6091444000,64012512000,TRUE,4.36131E+11
Euro Area,2004,1.53115E+11,28628191000,91939880000,1.6275E+11,4.36433E+11,41588634000,17004508000,6232644000,64825786000,TRUE,5.01259E+11
Euro Area,2005,1.85172E+11,29754733000,1.01844E+11,1.81216E+11,4.97987E+11,43193547000,17613627000,6423313000,67230487000,TRUE,5.65217E+11
Euro Area,2006,2.09691E+11,30564846000,1.11641E+11,2.0388E+11,5.55777E+11,46731376000,19005107000,6728220000,72464703000,TRUE,6.28242E+11
Euro Area,2007,2.26326E+11,31137171000,1.20933E+11,2.22112E+11,6.00508E+11,49353537000,19654559000,7105449000,76113545000,TRUE,6.76621E+11
Euro Area,2008,2.65032E+11,34019219000,1.38101E+11,2.45587E+11,6.8274E+11,52358297000,20298722000,7378052000,80035071000,TRUE,7.62775E+11
Euro Area,2009,2.81891E+11,35647330000,1.47186E+11,2.59972E+11,7.24697E+11,53804178000,20422773000,7487928000,81714879000,TRUE,8.06412E+11
Euro Area,2010,2.87926E+11,36121520000,1.55107E+11,2.77508E+11,7.56662E+11,55036169000,20392657000,7611360000,83040186000,TRUE,8.39702E+11
Euro Area,2011,2.99588E+11,36262162000,1.64995E+11,3.02257E+11,8.03102E+11,57069047000,20729316000,7728387000,85526750000,TRUE,8.88629E+11
Euro Area,2012,2.93733E+11,36846868000,1.70614E+11,3.21859E+11,8.23053E+11,59767686000,21706798000,8065523000,89540007000,TRUE,9.12593E+11
Euro Area,2013,2.9157E+11,39777095000,1.85002E+11,3.48142E+11,8.64491E+11,61776668000,21555510000,8361959000,91694137000,TRUE,9.56185E+11
Euro Area,2014,3.03022E+11,40779918000,2.01617E+11,3.75432E+11,9.2085E+11,64665681000,22443021000,8579360000,95688062000,TRUE,1.01654E+12
Euro Area,2015,3.0678E+11,41378920000,2.14478E+11,4.19914E+11,9.82551E+11,68791262000,23257670000,8830823000,1.0088E+11,TRUE,1.08343E+12
Euro Area,2016,2.69926E+11,46722764000,2.43258E+11,4.61569E+11,1.02148E+12,71830841000,23889837000,9025762000,1.04746E+11,TRUE,1.12622E+12
Euro Area,2017,2.5676E+11,49339852000,2.62368E+11,4.91312E+11,1.05978E+12,76590242000,25040869000,9315975000,1.10947E+11,TRUE,1.17073E+12
Euro Area,2018,2.60815E+11,51139379000,2.80449E+11,5.22343E+11,1.11475E+12,80409498000,26297680000,9679510000,1.16387E+11,TRUE,1.23113E+12
