Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/20/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,11585.77863,14115.57581,17478.97406,20392.4959,22030.08801,24157.84606,25143.24215,26736.9204,29071.47292,29426.44789,29689.0625,32090.67185,34150.23431,34647.60407,36911.05412,36997.56722,36582.02796,37292.43328,40400.25522,41707.07081,43041.03775,46244.88748,48481.61961,44088.51215,42087.55865,44724.92797,44237.5195,44794.92822,45705.08991,46175.52065,45178.88474,45878.17702,,
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,2689.793723,2693.739325,2630.610673,3541.787439,3694.285382,4549.873718,6191.745842,7240.436499,5809.87454,5819.837079,7043.352275,7180.541033,6089.278874,6441.509228,7814.419409,8392.990371,8885.04784,10090.11588,11130.93479,12049.75924,12024.0981,13073.51021,,,,,,,,,,,,,,,,,,,,,8060.022791,9347.568466,10102.12047,12012.15789,13167.16829,17911.78803,18578.80856,21542.38899,24883.27932,28234.4063,33015.04465,35290.49568,35254.4649,35531.19664,37141.9588,37896.46064,37680.81812,
Angola,AGO,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,2.13E-05,1.92E-05,1.85E-05,1.87E-05,1.91E-05,2.27E-05,2.05E-05,2.26E-05,2.37E-05,2.66E-05,2.84E-05,5.71E-05,0.00030022,0.002248558,0.050215692,1.076735618,58.01745038,117.7942208,166.3975516,1082.192082,5590.939645,11631.87024,37979.85972,73335.07574,104891.5781,165813.4195,208922.2175,239476.1096,306206.9092,247724.5772,329746.972,433553.0661,486895.9466,507192.31,531659.7319,500290.4977,573791.2665,679560.9,867898.2979,
Albania,ALB,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,5610.773515,5691.064307,5735.339646,5676.071393,5486.778985,5490.049454,5550.987797,5398.347065,5222.194571,5583.964773,4937.843484,4846.852721,15070.44418,37485.43591,55488.64923,69579.15593,105541.5553,105239.7292,123012.5362,142690.6778,162251.4112,184123.1885,200095.7945,222968.1381,243696.8667,267031.938,291636.2216,325091.6611,366664.7123,390753.2146,425553.259,447689.0811,459526.4517,466324.6108,482954.1027,497901.5608,511970.5914,539865.8584,568978.7348,
Andorra,AND,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,1362.460867,1460.4875,1629.094154,1870.82743,2191.053523,2473.339847,2875.970041,3538.500503,4206.96861,4768.530645,5333.426678,5755.552,6345.658843,6915.528421,7467.669648,7945.430493,8721.540512,9362.457951,10014.48031,10790.92053,11564.97276,12198.07132,12643.00706,12633.44869,13070.64473,13834.722,14477.77502,16150.69256,16965.39085,18079.04148,23809.90977,24840.73596,26290.31107,29039.92785,31010.70248,33194.87238,34871.28517,35494.17058,32622.88045,31195.31629,30000.94732,29567.86512,29881.22824,30600.06933,31881.76183,32496.95556,33650.59446,34727.86068,35607.61499,
Arab World,ARB,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,106352.1679,119060.0105,132022.5636,110161.722,127874.5671,158544.9466,165148.0472,146936.0563,127909.0307,118609.3042,109105.4954,86150.94235,87098.70521,81845.48138,88207.49606,101794.8712,97693.88376,96991.02388,93965.45734,94887.7368,99932.09363,106367.3091,108340.9886,98788.78749,104559.1521,122262.7376,114878.6803,115931.5472,123025.4218,133433.8601,144569.556,153904.9473,153545.4489,163422.336,117608.8069,124473.1572,143942.4499,150486.1952,155760.3847,160678.6283,141991.277,140075.9322,146208.2284,157935.6912,
Argentina,ARG,GDP per capita (current LCU),NY.GDP.PCAP.CN,6.42E-09,8.01E-09,1.01E-08,1.18E-08,1.65E-08,2.17E-08,2.67E-08,3.51E-08,3.99E-08,4.65E-08,5.03E-08,6.86E-08,1.13E-07,1.89E-07,2.56E-07,7.50E-07,3.90E-06,1.06E-05,2.62E-05,7.03E-05,0.000137666,0.000263751,0.000758911,0.003741707,0.026597085,0.175567614,0.325225959,0.74820387,3.506968293,100.9091208,2112.962898,5468.666072,6759.396362,6962.14897,7483.139682,7408.708238,7721.354543,8213.1272,8289.505729,7774.736203,7708.100996,7208.371567,8295.262516,9869.533784,12603.02264,14977.9962,18221.08665,22602.90057,28683.67019,30826.16911,40739.98408,52810.11674,63208.89269,79338.28508,107315.2117,138053.3152,188760.9565,241680.6556,328260.5646,
Armenia,ARM,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.219211,22.73441784,90.09773102,1254.318922,56968.32477,162324.9928,208700.4103,256722.6764,307327.4947,319662.2399,335985.5759,385446.5568,449071.0546,538329.7901,635829.201,752324.2284,897874.967,1073881.221,1227199.584,1087794.641,1202578.755,1313365.441,1479237.779,1572219.546,1657952.66,1723993.105,1725831.583,1889593.96,2034388.145,
American Samoa,ASM,GDP per capita (current LCU),NY.GDP.PCAP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8700.067705,8856.547459,8578.944723,8444.9817,8391.561067,8909.449156,9792.666806,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,
