Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,725779516.6,872808399.4,1067598257,1244594810,1369147940,1561128328,1715649128,1938533677,2229781973,2363650000,2470130000,2742180000,2980530000,3083810000,3353480000,3437000000,3475000000,3618000000,3989000000,4172000000,4340000000,4681000000,4914000000,4473000000,4279000000,4564000000,4537000000,4621000000,4743000000,4818000000,4738000000,4834000000,,
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,24200001500,24700000300,24600000500,33800003600,36000002000,45299998700,62999998500,75300003800,61800001500,63400001500,78699896800,82399903700,71799996400,77999996900,96999997400,1.07E+11,1.15E+11,1.33E+11,1.49E+11,1.62E+11,1.61E+11,1.72E+11,,,,,,,,,,,,,,,,,,,,,1.82E+11,2.21E+11,2.50E+11,3.08E+11,3.48E+11,4.85E+11,5.15E+11,6.12E+11,7.26E+11,8.50E+11,1.03E+12,1.14E+12,1.18E+12,1.22E+12,1.31E+12,1.38E+12,1.40E+12,
Angola,AGO,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,177.4288007,166.0593515,166.0593515,173.0559319,183.441471,226.0025289,211.5961353,241.8694506,262.3759764,305.2168833,335.9646477,700,3800,29400,678100,15015300,835493000,1751785000,2555800000,17171000000,91666100000,1.97E+11,6.65E+11,1.33E+12,1.97E+12,3.22E+12,4.21E+12,5.01E+12,6.64E+12,5.58E+12,7.70E+12,1.05E+13,1.22E+13,1.32E+13,1.43E+13,1.40E+13,1.65E+13,2.03E+13,2.67E+13,
Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,14991970000,15514160000,15968780000,16142520000,15935960000,16276690000,16778610000,16646370000,16409890000,18024720000,16228430000,15833650000,48934320000,1.21E+11,1.78E+11,2.22E+11,3.34E+11,3.31E+11,3.85E+11,4.44E+11,5.01E+11,5.63E+11,6.10E+11,6.78E+11,7.38E+11,8.04E+11,8.73E+11,9.66E+11,1.08E+12,1.14E+12,1.24E+12,1.30E+12,1.33E+12,1.35E+12,1.40E+12,1.43E+12,1.47E+12,1.55E+12,1.63E+12,
Andorra,AND,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,33075100,37328600,43809600,52817200,64679900,75943900,91389700,115960200,141930500,166030700,192360700,215833200,248204100,282616900,318914300,354366200,405699900,453657900,505070300,565962200,630395100,691276900,744521400,770274000,819228800,883347000,931789600,1038925600,1088194100,1163747900,1556930000,1672800000,1841610000,2125200000,2364380000,2617980000,2824330000,2934800000,2735820000,2634850000,2533550000,2476220000,2463020000,2471690000,2525450000,2535120000,2601090000,2674080000,2742000000,
Arab World,ARB,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,58313000000,75951000000,97082000000,92041000000,1.19E+11,1.62E+11,1.81E+11,1.71E+11,1.57E+11,1.53E+11,1.49E+11,1.25E+11,1.34E+11,1.33E+11,1.52E+11,1.86E+11,1.89E+11,1.99E+11,2.04E+11,2.18E+11,2.41E+11,2.70E+11,2.89E+11,2.78E+11,3.10E+11,3.83E+11,3.79E+11,4.03E+11,4.57E+11,5.43E+11,6.63E+11,8.16E+11,9.47E+11,1.16E+12,9.31E+11,1.06E+12,1.29E+12,1.38E+12,1.43E+12,1.48E+12,1.32E+12,1.31E+12,1.41E+12,1.52E+12,
Argentina,ARG,GDP (current LCU),NY.GDP.MKTP.CN,0.131508917,0.16680719,0.213135928,0.253470898,0.359472096,0.481860012,0.601239979,0.800469995,0.925289989,1.093969941,1.200199962,1.664659977,2.778640032,4.728960037,6.519309998,19.40229988,102.3389969,283.9049988,708.6110229,1932.140015,3840.399902,7474.299805,21852.5,109490,790920,5305000,9984100,23332300,111062000,3244039936,68921999360,1.81E+11,2.27E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,3.13E+11,3.76E+11,4.85E+11,5.83E+11,7.16E+11,8.97E+11,1.15E+12,1.25E+12,1.66E+12,2.18E+12,2.64E+12,3.35E+12,4.58E+12,5.95E+12,8.23E+12,1.06E+13,1.46E+13,
Armenia,ARM,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50310000,79690000,310190000,4218410000,1.87E+11,5.22E+11,6.61E+11,8.04E+11,9.55E+11,9.87E+11,1.03E+12,1.18E+12,1.36E+12,1.62E+12,1.91E+12,2.24E+12,2.66E+12,3.15E+12,3.57E+12,3.14E+12,3.46E+12,3.78E+12,4.27E+12,4.56E+12,4.83E+12,5.04E+12,5.07E+12,5.56E+12,6.01E+12,
American Samoa,ASM,GDP (current LCU),NY.GDP.MKTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,643000000,661000000,653000000,634000000,,
