country,year,cic,gdp,cd,bank_rate,tax_gdp_2,debt_gdp
United States,1918,4.37,,,,,
United States,1919,4.73,,,,,
United States,1920,5.19,,,,,
United States,1921,4.66,,,,,
United States,1922,4.25,,,,,
United States,1923,4.53,,,,,
United States,1924,4.59,,,,,
United States,1925,4.58,,,,,
United States,1926,4.64,,,,,
United States,1927,4.61,,,,,
United States,1928,4.50,,,,,
United States,1929,4.47,104.56,0.04,,,
United States,1930,4.26,92.16,0.05,,,
United States,1931,4.67,77.39,0.06,,,
United States,1932,5.33,59.52,0.09,,,
United States,1933,5.58,57.15,0.10,,,
United States,1934,5.40,66.80,0.08,,,
United States,1935,5.58,74.24,0.08,,,
United States,1936,6.10,84.83,0.07,,,
United States,1937,6.47,93.00,0.07,,,
United States,1938,6.51,87.35,0.07,,,
United States,1939,7.06,93.44,0.08,,,
United States,1940,7.88,102.90,0.08,,,
United States,1941,9.59,129.31,0.07,,,
United States,1942,12.68,165.95,0.08,,,
United States,1943,17.61,203.08,0.09,,,
United States,1944,22.55,224.45,0.10,,,
United States,1945,26.85,228.01,0.12,,,
United States,1946,28.29,227.54,0.12,,,
United States,1947,28.42,249.62,0.11,,,
United States,1948,28.06,274.47,0.10,,,
United States,1949,27.52,272.48,0.10,,,
United States,1950,27.17,299.83,0.09,,,
United States,1951,27.74,346.91,0.08,,,
United States,1952,29.06,367.34,0.08,,,
United States,1953,30.13,389.22,0.08,,,
United States,1954,30.03,390.55,0.08,,,
United States,1955,30.25,425.48,0.07,,,
United States,1956,30.69,449.35,0.07,,,
United States,1957,31.00,474.04,0.07,,,
United States,1958,31.18,481.23,0.06,,,
United States,1959,31.79,521.65,0.06,,,
United States,1960,32.06,542.38,0.06,,,
United States,1961,32.50,562.21,0.06,,,
United States,1962,33.77,603.92,0.06,,,
United States,1963,35.50,637.45,0.06,,,
United States,1964,37.71,684.46,0.06,,,
United States,1965,39.88,742.29,0.05,,,
United States,1966,42.51,813.41,0.05,,,
United States,1967,44.76,859.96,0.05,,,
United States,1968,47.73,940.65,0.05,,,
United States,1969,50.88,1017.62,0.05,,,
United States,1970,54.17,1073.30,0.05,,,
United States,1971,58.07,1164.85,0.05,,,
United States,1972,62.18,1279.11,0.05,,,
United States,1973,67.61,1425.38,0.05,,,
