country,year,cic,gdp,cd,treasury_bill_rate,tax_gdp,country_code,discount_rate,population,debt_gdp
United States,1930,4.2585,92.16,0.046207682,2.23,4.40321,USA,,123076741,17.73
United States,1931,4.669833333,77.391,0.06034078,1.402,4.02631,USA,,124039648,21.93
United States,1932,5.328083333,59.522,0.089514521,0.879,3.23242,USA,,124840471,33.14
United States,1933,5.57525,57.154,0.097547853,0.515,3.49407,USA,,125578763,39.96
United States,1934,5.40225,66.8,0.080872006,0.27833333,4.42365,USA,1.5,126373773,40.99
United States,1935,5.584416667,74.241,0.075220116,0.1675,4.8612,USA,1.5,127250232,39.16
United States,1936,6.102666667,84.83,0.071939958,0.1725,4.62454,USA,1.5,128053180,40.36
United States,1937,6.474416667,93.003,0.069615138,0.27583333,5.79229,USA,1.25,128824829,39.64
United States,1938,6.505083333,87.352,0.07446977,0.065,7.7285,USA,1,129824939,43.16
United States,1939,7.056083333,93.437,0.075517015,0.04583333,6.73716,USA,1,130879718,43.96
United States,1940,7.87775,102.899,0.076558081,0.03583333,6.36352,USA,1,132122446,42.42
United States,1941,9.588,129.309,0.074147971,0.12916667,6.73735,USA,1,133402471,38.64
United States,1942,12.67925,165.952,0.076403117,0.3425,8.81821,USA,0.75,134859553,44.76
United States,1943,17.60666667,203.084,0.086696474,0.38,11.81826,USA,0.5,136739353,68.9
United States,1944,22.55058333,224.447,0.100471752,0.38,19.49102,USA,0.5,138397345,91.49
United States,1945,26.84683333,228.007,0.117745654,0.38,19.80597,USA,0.5,139928165,116
United States,1946,28.28991667,227.535,0.124332154,0.38,17.27031,USA,0.5,141388566,121.2
United States,1947,28.42025,249.616,0.113855883,0.60083333,15.4293,USA,0.5,144126071,105.68
United States,1948,28.06366667,274.468,0.102247499,1.045,15.14202,USA,1.375,146631302,93.58
United States,1949,27.5185,272.475,0.100994587,1.115,14.46555,USA,1.5,149188130,94.42
United States,1950,27.17333333,299.827,0.090630041,1.20333333,13.15525,USA,1.75,152271417,87.45
United States,1951,27.736,346.914,0.079950651,1.5175,14.87862,USA,1.75,154877889,75.18
United States,1952,29.06258333,367.341,0.079116089,1.7225,18.01242,USA,1.75,157552740,72.25
United States,1953,30.13358333,389.218,0.077420837,1.89083333,17.88406,USA,1.875,160184192,70.04
United States,1954,30.02816667,390.549,0.076887066,0.93833333,17.84693,USA,1.625,163025854,71.18
United States,1955,30.24858333,425.478,0.071093178,1.725,15.38293,USA,2.125,165931202,66.08
United States,1956,30.68625,449.353,0.068289852,2.6275,16.59875,USA,2.875,168903031,62.27
United States,1957,31.00275,474.039,0.065401264,3.225,16.87414,USA,3.25,171984130,58.62
United States,1958,31.17616667,481.229,0.064784472,1.77083333,16.54846,USA,2.25,174881904,59.06
United States,1959,31.79208333,521.654,0.060944771,3.38583333,15.19187,USA,3.5,177829628,56.11
United States,1960,32.0555,542.382,0.059101334,2.88333333,17.05293,USA,3.25,180671158,54.29
United States,1961,32.50275,562.21,0.057812472,2.35416667,16.78874,USA,3,183691481,52.95
United States,1962,33.76741667,603.921,0.055913632,2.77333333,16.50481,USA,3,186537737,50.84
United States,1963,35.4965,637.451,0.055685064,3.15916667,16.71658,USA,3.5,189241798,49.44
United States,1964,37.70666667,684.46,0.055089657,3.54666667,16.45282,USA,4,191888791,46.92
United States,1965,39.884,742.289,0.053731094,3.94916667,15.7374,USA,4.5,194302963,44.06
United States,1966,42.50716667,813.414,0.052257727,4.8625,16.08468,USA,4.5,196560338,40.53
United States,1967,44.75825,859.958,0.052047019,4.30666667,17.30573,USA,4.25,198712056,39.11
United States,1968,47.72908333,940.651,0.05074048,5.33833333,16.26246,USA,5.3125,200706052,38.13
United States,1969,50.87941667,1017.615,0.04999869,6.66666667,18.36471,USA,6,202676946,35.9
United States,1970,54.17308333,1073.303,0.050473243,6.39166667,17.96389,USA,5.625,205052174,35.68
United States,1971,58.07183333,1164.85,0.049853486,4.3325,16.0655,USA,4.875,207660677,36.17
United States,1972,62.17583333,1279.11,0.048608668,4.0725,16.20728,USA,4.5,209896021,35.14
United States,1973,67.60608333,1425.376,0.047430351,7.03166667,16.19215,USA,6.178571429,211908788,33.66
United States,1974,73.97008333,1545.243,0.047869548,7.83,17.03447,USA,7.875,213853928,32.24
United States,1975,80.76175,1684.904,0.047932553,5.775,16.56415,USA,6.5625,215973199,33.14
United States,1976,88.36808333,1873.412,0.047169594,4.97416667,15.91001,USA,5.375,218035164,34.48
United States,1977,96.47058333,2081.826,0.046339407,5.26916667,17.07919,USA,5.875,220239425,34.77
United States,1978,106.139,2351.599,0.045134821,7.18833333,16.99103,USA,7.785714286,222584545,33.83
United States,1979,116.642,2627.334,0.044395574,10.0691667,17.63392,USA,10.875,225055487,
United States,1980,127.5426667,2857.307,0.044637369,11.4341667,18.09788,USA,11.71428571,227224681,41.18
United States,1981,137.4699167,3207.042,0.042865019,14.025,18.68613,USA,13,229465714,40.33
United States,1982,147.44775,3343.789,0.044096009,10.6141667,18.47503,USA,10,231664458,44.98
