country,country_code,year,cic,gdp,cd
United States,USA,1960,32.0555,542.382,0.059101334
United States,USA,1961,32.50275,562.21,0.057812472
United States,USA,1962,33.76741667,603.921,0.055913632
United States,USA,1963,35.4965,637.451,0.055685064
United States,USA,1964,37.70666667,684.46,0.055089657
United States,USA,1965,39.884,742.289,0.053731094
United States,USA,1966,42.50716667,813.414,0.052257727
United States,USA,1967,44.75825,859.958,0.052047019
United States,USA,1968,47.72908333,940.651,0.05074048
United States,USA,1969,50.87941667,1017.615,0.04999869
United States,USA,1970,54.17308333,1073.303,0.050473243
United States,USA,1971,58.07183333,1164.85,0.049853486
United States,USA,1972,62.17583333,1279.11,0.048608668
United States,USA,1973,67.60608333,1425.376,0.047430351
United States,USA,1974,73.97008333,1545.243,0.047869548
United States,USA,1975,80.76175,1684.904,0.047932553
United States,USA,1976,88.36808333,1873.412,0.047169594
United States,USA,1977,96.47058333,2081.826,0.046339407
United States,USA,1978,106.139,2351.599,0.045134821
United States,USA,1979,116.642,2627.334,0.044395574
United States,USA,1980,127.5426667,2857.307,0.044637369
United States,USA,1981,137.4699167,3207.042,0.042865019
United States,USA,1982,147.44775,3343.789,0.044096009
United States,USA,1983,160.6590833,3634.038,0.044209522
United States,USA,1984,173.9805833,4037.613,0.04308996
United States,USA,1985,185.4145833,4338.979,0.042732307
United States,USA,1986,198.78775,4579.631,0.043406936
United States,USA,1987,214.6169167,4855.215,0.044203381
United States,USA,1988,233.0936667,5236.438,0.044513783
United States,USA,1989,247.3764167,5641.58,0.043848783
United States,USA,1990,266.8675833,5963.144,0.044752832
United States,USA,1991,291.81875,6158.129,0.047387567
United States,USA,1992,312.6661667,6520.327,0.047952529
United States,USA,1993,343.5631667,6858.559,0.050092617
United States,USA,1994,379.1286667,7287.236,0.052026402
United States,USA,1995,407.9183333,7639.749,0.053394206
United States,USA,1996,425.7430833,8073.122,0.052735866
United States,USA,1997,453.8421667,8577.552,0.052910454
United States,USA,1998,485.664,9062.817,0.053588636
United States,USA,1999,535.6471667,9630.663,0.05561893
United States,USA,2000,572.01975,10252.347,0.055794029
United States,USA,2001,601.0930833,10581.822,0.056804309
United States,USA,2002,653.9599167,10936.418,0.059796536
United States,USA,2003,693.5033333,11458.246,0.060524389
United States,USA,2004,729.3506667,12213.73,0.059715637
United States,USA,2005,761.86775,13036.637,0.058440513
United States,USA,2006,794.0215833,13814.609,0.057476949
United States,USA,2007,811.7314167,14451.86,0.056167955
United States,USA,2008,832.3643333,14712.845,0.056573989
United States,USA,2009,907.3975833,14448.932,0.062800322
United States,USA,2010,945.6419167,14992.052,0.063076216
United States,USA,2011,1023.447167,15542.582,0.06584795
United States,USA,2012,1112.7995,16197.007,0.06870402
United States,USA,2013,1193.20175,16784.851,0.071088016
United States,USA,2014,1279.127417,17527.258,0.072979323
United States,USA,2015,1371.52375,18224.78,0.075255984
United States,USA,2016,1457.525,18715.04,0.077879876
United States,USA,2017,1555.442667,19519.424,0.079686914
United States,USA,2018,1661.464,20580.223,0.080731098
United Kingdom,GBR,1960,2111915274,26412000000,0.07996
United Kingdom,GBR,1961,2205960632,28069000000,0.07859
United Kingdom,GBR,1962,2302141403,29374000000,0.07837
United Kingdom,GBR,1963,2309448249,31229000000,0.07395
United Kingdom,GBR,1964,2429044275,34127000000,0.07118
United Kingdom,GBR,1965,2601417528,36906000000,0.07049
United Kingdom,GBR,1966,2778619008,39423000000,0.07048
United Kingdom,GBR,1967,2859800000,41728000000,0.06853
United Kingdom,GBR,1968,3012500000,45809000000,0.06576
United Kingdom,GBR,1969,3132500000,49682000000,0.06305
United Kingdom,GBR,1970,3231000000,55916000000,0.05778
United Kingdom,GBR,1971,3658000000,62640000000,0.0584
United Kingdom,GBR,1972,3663000000,70305000000,0.0521
United Kingdom,GBR,1973,4166000000,81467000000,0.05114
United Kingdom,GBR,1974,4552000000,92227000000,0.04936
United Kingdom,GBR,1975,5306000000,1.15E+11,0.04632
United Kingdom,GBR,1976,5981000000,1.36E+11,0.04392
United Kingdom,GBR,1977,6694000000,1.59E+11,0.04216
United Kingdom,GBR,1978,7652000000,1.85E+11,0.04139
United Kingdom,GBR,1979,8843000000,2.20E+11,0.04028
United Kingdom,GBR,1980,9651000000,2.58E+11,0.03735
United Kingdom,GBR,1981,10160000000,2.88E+11,0.0353
United Kingdom,GBR,1982,10570000000,3.17E+11,0.03338
United Kingdom,GBR,1983,10910000000,3.48E+11,0.03133
United Kingdom,GBR,1984,11400000000,3.75E+11,0.03044
United Kingdom,GBR,1985,11976000000,4.12E+11,0.02906
United Kingdom,GBR,1986,11962000000,4.44E+11,0.02694
United Kingdom,GBR,1987,12503000000,4.93E+11,0.02538
United Kingdom,GBR,1988,13253000000,5.52E+11,0.02402
United Kingdom,GBR,1989,14140000000,6.09E+11,0.0232
United Kingdom,GBR,1990,14951000000,6.63E+11,0.02256
United Kingdom,GBR,1991,15266000000,6.98E+11,0.02187
United Kingdom,GBR,1992,15436000000,7.21E+11,0.0214
United Kingdom,GBR,1993,16163000000,7.58E+11,0.02131
United Kingdom,GBR,1994,17096000000,7.97E+11,0.02145
United Kingdom,GBR,1995,18062000000,8.37E+11,0.02159
United Kingdom,GBR,1996,19405000000,8.93E+11,0.02173
United Kingdom,GBR,1997,20578000000,9.39E+11,0.02192
United Kingdom,GBR,1998,22026000000,9.80E+11,0.02247
United Kingdom,GBR,1999,23098000000,1.02E+12,0.02262
United Kingdom,GBR,2000,24918000000,1.08E+12,0.02305
United Kingdom,GBR,2001,26983000000,1.12E+12,0.02408
United Kingdom,GBR,2002,29046000000,1.17E+12,0.02477
United Kingdom,GBR,2003,31033000000,1.24E+12,0.02498
United Kingdom,GBR,2004,33013000000,1.30E+12,0.0253
United Kingdom,GBR,2005,35021000000,1.38E+12,0.02539
United Kingdom,GBR,2006,36793000000,1.46E+12,0.02528
United Kingdom,GBR,2007,38214000000,1.53E+12,0.02496
United Kingdom,GBR,2008,40933000000,1.56E+12,0.02617
United Kingdom,GBR,2009,44494000000,1.52E+12,0.02928
United Kingdom,GBR,2010,49486000000,1.57E+12,0.03147
United Kingdom,GBR,2011,51542000000,1.63E+12,0.03165
United Kingdom,GBR,2012,54568000000,1.68E+12,0.03258
United Kingdom,GBR,2013,57242000000,1.74E+12,0.03291
United Kingdom,GBR,2014,59391000000,1.82E+12,0.03259
United Kingdom,GBR,2015,64639000000,1.87E+12,0.03452
United Kingdom,GBR,2016,69776000000,1.94E+12,0.03597
Switzerland,CHE,1960,6042400000,35927638057,0.1681825
Switzerland,CHE,1961,6672900000,46846156800,0.142442848
Switzerland,CHE,1962,7358900000,51950571520,0.141651955
Switzerland,CHE,1963,8002800000,57126662144,0.140088703
Switzerland,CHE,1964,8638600000,63322750976,0.136421742
Switzerland,CHE,1965,9179100000,67110535168,0.136775843
Switzerland,CHE,1966,9566500000,72066473984,0.132745498
Switzerland,CHE,1967,10013400000,77576192000,0.129078262
Switzerland,CHE,1968,10577500000,82835611648,0.127692665
Switzerland,CHE,1969,11259900000,89754304512,0.125452479
Switzerland,CHE,1970,11784700000,NA,NA
Switzerland,CHE,1971,12663800000,NA,NA
Switzerland,CHE,1972,14080400000,NA,NA
Switzerland,CHE,1973,15784200000,NA,NA
Switzerland,CHE,1974,17022700000,NA,NA
Switzerland,CHE,1975,17608500000,NA,NA
Switzerland,CHE,1976,17778400000,NA,NA
Switzerland,CHE,1977,18590500000,NA,NA
Switzerland,CHE,1978,19547600000,NA,NA
Switzerland,CHE,1979,21069700000,NA,NA
Switzerland,CHE,1980,21779700000,1.99E+11,0.109213983
Switzerland,CHE,1981,21937000000,2.14E+11,0.102468177
Switzerland,CHE,1982,22101900000,2.27E+11,0.09744769
Switzerland,CHE,1983,22796500000,2.34E+11,0.097562737
Switzerland,CHE,1984,23327600000,2.50E+11,0.093408099
Switzerland,CHE,1985,23676700000,2.65E+11,0.089416183
Switzerland,CHE,1986,24030200000,2.78E+11,0.086471189
Switzerland,CHE,1987,24831500000,2.88E+11,0.086072055
Switzerland,CHE,1988,25876500000,3.06E+11,0.084490282
Switzerland,CHE,1989,26482500000,3.31E+11,0.080109068
Switzerland,CHE,1990,25948100000,3.59E+11,0.072378415
Switzerland,CHE,1991,26533300000,3.74E+11,0.070861822
Switzerland,CHE,1992,26537700000,3.82E+11,0.069429459
Switzerland,CHE,1993,26925100000,3.91E+11,0.068931255
Switzerland,CHE,1994,27440600000,4.00E+11,0.068558165
Switzerland,CHE,1995,27633700000,4.05E+11,0.068207004
Switzerland,CHE,1996,28320400000,4.08E+11,0.06941388
Switzerland,CHE,1997,29086400000,4.16E+11,0.069948619
