Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Urban population growth (annual %),SP.URB.GROW,3.117931095,2.20965751,1.379867676,0.799403835,0.565139755,0.544772578,0.586270643,0.555661148,0.539066587,0.549627941,0.543279112,0.606850584,0.639530321,0.642030356,0.442080131,0.182809439,-0.150140377,-0.392734918,-0.466737634,-0.234188282,0.164978425,0.748870346,1.245483801,1.354581924,0.98666748,0.271131034,-0.638011071,-1.333310556,-1.256983995,-0.107364219,1.784119719,3.870034529,4.83110317,5.244604746,4.795141636,3.779825958,2.670049301,1.817739269,1.256413724,1.09550075,1.182632371,1.413021218,1.434559531,1.310360439,0.951477684,0.491302715,-0.015595237,-0.437657004,-0.691640231,-0.735039665,-0.62620464,0.093610519,0.541673681,0.658336182,0.712258524,0.700551703,0.702301419,0.70398038,0.725179011,
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,5.156936007,5.211641459,5.272864481,5.317575811,5.377572845,5.41104351,5.438912671,5.42828923,5.493928434,5.602169086,5.748334309,5.86018322,5.899303222,5.823641426,5.630163063,5.343231076,5.106359352,4.846933438,4.374483793,3.606474941,3.110980329,2.089904697,1.251593907,0.726383978,0.727526047,1.179064843,1.657598952,2.210526212,3.427720041,2.564046926,4.898022969,7.319562069,8.963742459,9.206787828,8.078605397,6.301318996,4.434813095,3.054747534,2.359234283,2.585194857,3.392622011,4.314130568,4.910850146,5.080795027,4.977019778,4.580914972,3.88502396,3.389105344,3.159892151,3.285007253,3.630954363,4.028102148,4.288938013,4.37235476,4.229767834,3.951762191,3.649410221,3.463407483,3.350382976,
Angola,AGO,Urban population growth (annual %),SP.URB.GROW,4.533965187,4.812889292,5.074726128,4.93658547,4.639690114,4.249502144,3.80472324,3.485031346,3.543035135,4.099693106,5.035332129,6.935496109,8.512644871,8.96400295,9.013923089,8.772812045,8.489888124,8.27098938,8.140901418,8.09770632,8.113045795,8.104729029,8.068641059,8.010214426,7.938595496,7.834531618,7.743283397,7.646771882,7.538141019,7.396473268,7.256837663,7.117643111,6.992313722,6.857092323,6.750299664,5.899169063,5.844112727,5.784104753,5.744067242,5.706745801,5.681752904,5.643419087,5.617880897,5.6106339,5.63246702,5.654449338,4.974640502,5.010626557,5.019632778,4.985908704,4.932242034,4.872630318,4.812932712,4.742847942,4.666400019,4.572191581,4.480209744,4.391957279,4.311791342,
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,5.39154054,3.893009665,3.289207022,3.182264531,3.112068144,2.984828013,2.864945444,2.859929437,3.071745751,3.219848385,3.157619134,3.029187299,3.100658737,2.964573466,2.89871135,2.902126121,2.805688761,2.810024998,2.669114362,2.582275994,2.82702035,2.775926165,2.883273307,2.890837193,2.867971958,2.817046493,2.691391059,2.755141155,2.639152558,3.437377879,2.543042545,0.141060582,0.87843043,0.85553496,0.84372567,0.82417126,0.812476342,0.788237295,0.774515179,0.755983737,0.742478629,0.710442618,2.181208904,2.060274182,1.971798937,1.826429357,1.662227897,1.49221507,1.435124211,1.473287913,1.609373264,1.787783785,1.848378936,1.74363937,1.646115996,1.484764333,1.54401448,1.541284964,1.317162104,
Andorra,AND,Urban population growth (annual %),SP.URB.GROW,10.45245907,11.17693268,10.67968553,10.2886677,9.723397624,9.229185746,8.75086896,8.28541946,7.884052771,7.567889048,7.328602615,7.158655162,6.926075255,6.548390244,6.004155366,5.343495341,4.716961576,4.248839949,3.970753262,4.12167872,4.405212169,4.691691979,4.936471173,5.040260491,4.996474848,4.876542425,4.381743303,3.927102016,3.845482532,3.751310005,3.687353675,3.696308543,3.620362941,3.248430426,2.524504479,1.611497158,0.541979631,-0.313156134,-0.560459872,0.073792077,1.279313835,2.571869093,3.492053517,3.899960407,3.597589655,2.867779167,2.128715525,1.509102183,1.074873634,0.610397317,-0.121248474,-0.94031983,-1.695197386,-2.131905244,-2.059802149,-1.637729443,-1.029673946,-0.495265141,-0.092859413,
Arab World,ARB,Urban population growth (annual %),SP.URB.GROW,,5.193720898,5.162592643,5.199308516,5.258522308,5.353842544,5.20550535,4.866220803,4.866443622,4.829005716,4.784662701,4.657750052,4.649993063,4.616230081,4.49836857,4.509471575,4.543768184,4.519204871,4.530934685,4.512344063,4.518498292,4.499341946,4.450395016,4.456101969,4.483445852,4.363384612,4.274739551,4.058435462,3.822032963,3.652051475,4.822839741,3.52047536,1.838290633,3.452115039,3.111980016,4.095308214,2.657597472,2.643305664,2.62802075,2.624698121,2.634066945,2.661611874,2.667821128,2.733716581,2.819837691,2.996839564,3.120279354,2.959705461,3.252810798,3.226801135,3.171233868,2.966427458,2.833488164,2.765734986,2.678977993,2.693292802,2.570759629,2.466600166,2.409377647,
United Arab Emirates,ARE,Urban population growth (annual %),SP.URB.GROW,8.12051695,9.872112552,11.80216052,12.09611625,10.89794386,9.254255545,7.53949957,6.911176606,7.963051747,10.6287105,14.37838163,16.8202696,17.63218038,17.58946969,16.93612386,15.95291499,15.26823213,14.46599644,13.02316952,11.15232665,9.249454328,7.256770321,5.763782911,5.047991348,4.91977264,5.151374052,5.479889306,5.672691675,5.74015938,5.703902384,5.600482469,5.592454048,5.617765207,5.506785057,5.242076681,4.93836606,5.2302685,5.642202405,5.729753543,5.832577881,6.04275956,5.762463983,5.70298511,6.985510459,9.662462108,12.49661668,14.89277121,15.62977749,14.34773902,11.46945428,8.098177204,4.935149242,2.539561699,0.987478568,0.539269428,0.877018808,1.392358869,1.668055851,1.821075657,
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,2.701612578,2.444584289,2.338483118,2.297596268,2.257161391,2.214155495,2.175008603,2.138685627,2.12354903,2.127459194,2.149557633,2.132118201,2.140094299,2.141746033,2.115604699,2.069891324,2.019552598,1.976113626,1.956450566,1.961619417,1.985603968,2.084596881,2.130323945,2.128534574,2.116261532,2.090138793,2.062278899,2.033667327,1.995113323,1.941470081,1.880410392,1.796135889,1.596937151,1.545655859,1.502068143,1.460887322,1.422467878,1.383300961,1.352202815,1.330564436,1.313953679,1.301636729,1.285970059,1.268424803,1.24921239,1.226397296,1.202978122,1.182725064,1.173913307,1.177227242,0.926281041,1.308141316,1.280773703,1.25948243,1.239638679,1.215797063,1.192602919,1.170195959,1.147602159,
Armenia,ARM,Urban population growth (annual %),SP.URB.GROW,5.317718475,5.218003851,5.102603032,4.957956198,4.793463527,4.610429971,4.42058464,4.241988086,4.09503712,3.985578213,3.874353365,3.766405108,3.68778494,3.584753712,3.460111635,3.070331475,2.9372697,2.811909708,2.703436596,2.349830916,1.967317316,1.863414417,1.751296825,1.70874309,1.75241583,1.829571307,1.980891768,2.048258919,1.818690845,0.880068902,-0.35021835,-1.337319854,-2.203312828,-2.749969162,-2.802711384,-2.455759713,-1.957457084,-1.537024147,-1.207229125,-1.063249329,-1.064599757,-1.053244507,-0.780921151,-0.684515059,-0.726434617,-0.806584714,-0.928138872,-1.028969035,-1.011561122,-0.831044896,-0.531245231,-0.184900406,0.108996619,0.341742583,0.427773036,0.407692803,0.356702332,0.32788567,0.309165597,
American Samoa,ASM,Urban population growth (annual %),SP.URB.GROW,2.154536383,2.994346358,3.752718516,4.237543863,4.284536473,4.127028985,3.892107913,3.757734998,3.488987693,3.291112662,3.0150389,2.810741256,2.625764286,2.400270708,2.231387682,2.067773415,1.863507009,1.771779157,1.902058177,2.330987576,3.105501703,4.133286705,4.620723082,4.946235094,5.007439811,4.911887655,4.796701742,4.668918173,4.460619358,4.194131802,3.965288919,3.939531325,3.553235551,3.267424062,3.073189757,2.963909486,2.846432155,2.688373746,2.504072227,2.313707201,1.854185511,1.048716207,0.886672155,0.605177338,0.184451025,-0.310148568,-0.880489572,-1.376368312,-1.623144301,-1.533178376,-1.187900361,-0.678162579,-0.258583681,0,0.071895898,-0.020536411,-0.172672561,-0.249255966,-0.299515835,
