,country,year,cic,country_code,gdp,cd,log_cd,log_cic,interest_rates_imf,country_code.y,tax_gdp,uncertainty,eci,eci_2
1,Chile,1997,1.24E+12,CHL,3.56E+13,0.034887949,-3.355613798,27.84775296,6.5,CHL,15.92535405,0.01613945,-0.22503,-0.048787
2,Chile,1998,1.25E+12,CHL,3.75E+13,0.033421093,-3.398568041,27.85679401,8.33,CHL,15.85207689,0.0658058,-0.123718,0.010442
3,Chile,1999,1.62E+12,CHL,3.82E+13,0.042304319,-3.162866085,28.11099055,5,CHL,15.17975701,0,-0.122233,-0.044724
4,Australia,2001,2.68E+10,AUS,7.05E+11,0.037991489,-3.270393109,24.01107053,4.25,AUS,24.82193156,0.087171975,-0.06647,0.354003
5,Bangladesh,2001,1.38E+11,BGD,2.91E+12,0.047494502,-3.047141328,25.65203287,6,BGD,6.611160271,0.0390488,-0.995853,-1.00205
6,Belarus,2001,55360740.75,BLR,1717320000,0.032236706,-3.434649523,17.82938125,66,BLR,15.75466424,0.0629974,0.842052,0.810419
7,Brazil,2001,3.77E+10,BRA,1.32E+12,0.028536364,-3.556576088,24.35207676,19,BRA,14.55976349,0.373970075,0.512734,0.613724
8,Canada,2001,38820619000,CAN,1.14E+12,0.034053175,-3.379832018,24.38221736,2.25,CAN,14.23159039,0.331473975,0.864428,1.14843
9,Chile,2001,1.69E+12,CHL,4.51E+13,0.037450643,-3.284731399,28.15517196,6.5,CHL,16.03355182,0.101789875,-0.097452,-0.151169
10,Cote d'Ivoire,2001,8.19443E+11,CIV,8.20E+12,0.099932012,-2.303265202,27.43189007,5,CIV,14.31030335,0.12021565,-1.08336,-1.48968
11,Denmark,2001,4.73E+10,DNK,1.37E+12,0.034524088,-3.366098008,24.57973385,3.25,DNK,30.16719583,0.18733965,1.56798,1.19998
12,Ghana,2001,328520000,GHA,3807070000,0.086292083,-2.450017425,19.61010828,27,GHA,17.19292789,0.094795675,-1.17101,-1.60169
13,Israel,2001,16853627136,ISR,5.50E+11,0.030642958,-3.485352384,23.54783173,5.65709,ISR,26.68944428,0.320232175,1.19289,1.10295
14,Moldova,2001,1967344168,MDA,19051531000,0.103264361,-2.270462971,21.39995033,13,MDA,12.17120031,0.104649425,-0.058476,0.234091
15,New Zealand,2001,3059725711,NZL,1.29E+11,0.023718804,-3.741487129,21.84159111,4.75,NZL,28.55763254,0.300484175,0.255177,0.402943
16,South Africa,2001,36138850000,ZAF,1.05E+12,0.034417952,-3.369176979,24.3106343,9.5,ZAF,24.18558057,0.2287649,0.102827,0.520214
17,Switzerland,2001,33168600000,CHE,4.70E+11,0.070571489,-2.651129049,24.22486948,2.25,CHE,9.210830796,0.2627937,2.24412,1.54162
18,Thailand,2001,4.90E+11,THA,5.35E+12,0.091633458,-2.389958813,26.91815886,2.25,THA,13.07018898,0.181096625,0.393173,0.862254
19,United Kingdom,2001,2.62E+10,GBR,1.13E+12,0.023173451,-3.764747995,23.98849075,4,GBR,25.79076589,0.14887745,1.9704,1.38257
20,United States,2001,6.12E+11,USA,1.06E+13,0.057712925,-2.852274135,27.13960098,1.8306,USA,11.858072,0.24732305,1.85189,1.38967
21,Albania,2002,1.33128E+11,ALB,6.10E+11,0.218242748,-1.522147312,25.61457748,8.5,ALB,16.48423498,0.094000625,-0.01742,-0.222815
22,Argentina,2002,1.88E+10,ARG,3.13E+11,0.060070288,-2.812239943,23.65722908,6.63,ARG,9.818958347,0.22531335,-0.048438,0.268286
23,Australia,2002,3.37E+10,AUS,7.54E+11,0.044712202,-3.107508848,24.24114936,4.75,AUS,23.52831212,0.07341065,-0.073102,0.34148
24,Bangladesh,2002,1.44E+11,BGD,3.14E+12,0.045907006,-3.081137529,25.69410639,6,BGD,6.691384191,0.2508133,-1.03815,-1.00121
25,Belarus,2002,71482701.38,BLR,2613830000,0.027347877,-3.599116376,18.08496604,38,BLR,14.20103832,0.0193274,0.722964,0.794905
26,Brazil,2002,4.99E+10,BRA,1.49E+12,0.033510738,-3.395889347,24.63390789,25,BRA,15.7200793,0.3490374,0.450486,0.606053
27,Canada,2002,41146671000,CAN,1.19E+12,0.034577034,-3.364565561,24.44040886,2.75,CAN,13.42525802,0.19201015,0.89244,1.13946
28,Chile,2002,1.79E+12,CHL,4.80E+13,0.037212208,-3.291118391,28.21110374,3,CHL,16.20169514,0.015437825,-0.089827,-0.153392
29,Cote d'Ivoire,2002,1.18925E+12,CIV,8.61E+12,0.138123856,-1.979604489,27.80434095,5,CIV,14.63369618,0.115630275,-1.14553,-1.46724
30,Denmark,2002,4.77E+10,DNK,1.41E+12,0.033797872,-3.387357427,24.58725339,2.86,DNK,30.11718967,0.124614425,1.54904,1.22889
31,Ghana,2002,494440000,GHA,4886200000,0.10119111,-2.290744375,20.01893637,24.5,GHA,17.49311121,0.098923725,-1.13735,-1.75836
32,Israel,2002,18004337942,ISR,5.73E+11,0.031421183,-3.460272991,23.61387856,9.1,ISR,25.73076705,0.19824425,1.10809,1.06623
33,Jamaica,2002,24354508000,JAM,4.71E+11,0.051708085,-2.962141128,23.9159828,12.95,JAM,21.85901019,0.2069832,-0.636068,-0.783037
34,Moldova,2002,2477639634,MDA,22555858000,0.109844619,-2.208688464,21.63057218,9.5,MDA,12.88135437,0.165088175,-0.019165,0.286507
35,New Zealand,2002,3303137311,NZL,1.35E+11,0.024467684,-3.710402061,21.91813855,5.75,NZL,28.20805365,0.2119352,0.192239,0.399265
36,Philippines,2002,2.71695E+11,PHL,4.20E+12,0.064689355,-2.738158618,26.32794702,7.12059,PHL,12.09116828,0.1430137,-0.025559,0.806714
37,South Africa,2002,39487428000,ZAF,1.22E+12,0.032366744,-3.430623795,24.39924818,13.5,ZAF,23.27841514,0.0815469,0.055371,0.539331
38,Sweden,2002,1.07E+11,SWE,2.57E+12,0.041628016,-3.178981887,25.39594513,4.5,SWE,26.8101007,0.23055585,2.0381,1.38508
39,Switzerland,2002,35231300000,CHE,4.70E+11,0.074960213,-2.590797803,24.28520073,1.25,CHE,9.19319936,0.214689725,2.19269,1.51899
40,Thailand,2002,5.59167E+11,THA,5.77E+12,0.096909307,-2.33397972,27.04971348,1.75,THA,13.47031276,0.1170352,0.435905,0.877702
41,United Kingdom,2002,2.85E+10,GBR,1.18E+12,0.024161017,-3.723014815,24.07352074,4,GBR,24.94987134,0.069229375,1.99456,1.37465
42,United States,2002,6.54E+11,USA,1.09E+13,0.060024954,-2.812994901,27.206789,1.25,USA,9.861546039,0.26978,1.87944,1.37342
43,Albania,2003,1.2779E+11,ALB,6.78E+11,0.188480197,-1.668762332,25.57365079,6.5,ALB,17.19614992,0.02276245,-0.02384,-0.163581
44,Argentina,2003,3.03E+10,ARG,3.76E+11,0.08062766,-2.517913517,24.13494146,1.67,ARG,12.5187797,0.1737543,-0.022571,0.222639
45,Australia,2003,3.40E+10,AUS,8.01E+11,0.042475655,-3.158824181,24.2503026,5.25,AUS,24.32406113,0.308238375,-0.038353,0.33688
46,Bangladesh,2003,1.55E+11,BGD,3.48E+12,0.044433333,-3.11376534,25.76428807,5,BGD,6.965213904,0.196107,-1.1201,-0.941555
47,Belarus,2003,105334920.3,BLR,3656480000,0.028807739,-3.547111224,18.47265555,28,BLR,17.68812191,0.097525425,0.723122,0.779609
48,Brazil,2003,5.14E+10,BRA,1.72E+12,0.029862791,-3.511142032,24.66220337,16.5,BRA,15.24438358,0.117342325,0.42281,0.564908
49,Canada,2003,42190611000,CAN,1.25E+12,0.033752489,-3.388701122,24.46546355,2.75,CAN,13.27575327,0.19102295,0.919277,1.13309
