"","country","year","cic","country_code","gdp","cd","log_cd","log_cic","interest_rates_wdi","tax_gdp","uncertainty","eci","eci_2"
"1","Chile",1997,1.242011e+12,"CHL",3.56e+13,0.0348879494382022,-3.35561379770315,27.8477529560834,12.017985542293,15.92535405,0.01613945,-0.22503,-0.048787
"2","Chile",1998,1.253291e+12,"CHL",3.75e+13,0.0334210933333333,-3.39856804140886,27.8567940074961,14.9179585652026,15.85207689,0.0658058,-0.123718,0.010442
"3","Chile",1999,1.616025e+12,"CHL",3.82e+13,0.0423043193717277,-3.16286608533626,28.1109905462048,8.56007740232106,15.17975701,0,-0.122233,-0.044724
"4","Angola",2001,9715574023.2,"AGO",1.97e+11,0.049317634635533,-3.00947356137516,22.9969960043092,47.9087916666667,29.24667572,0.108792625,-1.71443,-1.39774
"5","Argentina",2001,1.096e+10,"ARG",2.69e+11,0.0407434944237918,-3.20045909808197,23.1175181184663,16.1635974932858,9.324898794,0.31203655,0.065941,0.324783
"6","Australia",2001,2.6784e+10,"AUS",7.05e+11,0.0379914893617021,-3.2703931085052,24.0110705312535,3.19583333333333,24.82193156,0.087171975,-0.06647,0.354003
"7","Bangladesh",2001,1.38209e+11,"BGD",2.91e+12,0.0474945017182131,-3.04714132794225,25.6520328691697,9.15333333333333,6.611160271,0.0390488,-0.995853,-1.00205
"8","Belarus",2001,55360740.75,"BLR",1717320000,0.0322367064670533,-3.43464952329118,17.8293812497839,34.175,15.75466424,0.0629974,0.842052,0.810419
"9","Bolivia",2001,2700240265.03,"BOL",53790327000,0.0501993651206099,-2.99175289936423,21.7166065930457,9.81876220185975,11.78254596,0.12910025,-0.881527,-0.553229
"10","Brazil",2001,3.7668e+10,"BRA",1.32e+12,0.0285363636363636,-3.5565760879326,24.3520767645942,17.8566666666667,14.55976349,0.373970075,0.512734,0.613724
"11","Bulgaria",2001,3262882000,"BGR",3.0751e+10,0.106106533120874,-2.24331166013182,21.9058766908636,2.91938333333333,17.27190335,0.16642185,0.344109,0.437055
"12","Canada",2001,38820619000,"CAN",1.14e+12,0.0340531745614035,-3.37983201838583,24.3822173599491,2.25416666666667,14.23159039,0.331473975,0.864428,1.14843
"13","Chile",2001,1.689024e+12,"CHL",4.51e+13,0.0374506430155211,-3.28473139919245,28.1551719632447,6.18740736338206,16.03355182,0.101789875,-0.097452,-0.151169
"14","Costa Rica",2001,223034912649.05,"CRI",5.23e+12,0.0426452987856692,-3.15483823888858,26.1305941551168,11.7716611108333,13.41377052,0.135048775,-0.057797,-0.004672
"15","Croatia",2001,9046164284.87,"HRV",1.94e+11,0.0466297128086082,-3.06551732712129,22.9256066688884,3.22916666666667,20.84307151,0.0725375,0.631126,0.7152
"16","Czech Republic",2001,2.05843e+11,"CZE",2.57e+12,0.0800945525291829,-2.52454743559524,26.0503795792404,2.87333333333333,14.80355362,0.188649775,1.52518,1.17904
"17","Dominican Republic",2001,21645600000,"DOM",4.27e+11,0.0506922716627635,-2.98198181269115,23.7980680374839,15.605,13.38050699,0.26414795,-0.502652,-0.494833
"18","Georgia",2001,365668948,"GEO",6.674e+09,0.0547900731195685,-2.90424624889048,19.7172389683851,4.82969272887249,7.352412346,0.0661168,0.217142,0.313695
"19","Ghana",2001,328520000,"GHA",3807070000,0.0862920828878902,-2.45001742452297,19.6101082768363,30.8541666666667,17.19292789,0.094795675,-1.17101,-1.60169
"20","Guatemala",2001,9475867030.64,"GTM",1.47e+11,0.0644616804805442,-2.74168433280522,22.9720140909199,8.75416666666667,10.86302489,0.249493425,-0.314302,-0.204666
"21","Hungary",2001,1138436616851,"HUN",1.54e+13,0.0739244556396753,-2.60471157695451,27.7606770483936,8.98439099141686,21.26238088,0.093443025,0.992979,1.18991
"22","Indonesia",2001,91275698500000,"IDN",1.65e+15,0.0553186051515152,-2.89464598668432,32.1449056961389,15.4816666666667,11.57818458,0.548959025,-0.006918,0.516911
"23","Israel",2001,16853627136,"ISR",5.5e+11,0.0306429584290909,-3.48535238429658,23.5478317308763,6.17919166666667,26.68944428,0.320232175,1.19289,1.10295
"24","Jamaica",2001,22340543000,"JAM",4.23e+11,0.0528145224586288,-2.94096907952335,23.8296689364693,13.3176343728229,21.41481302,0.085976275,-0.616227,-0.829584
"25","Japan",2001,7.3298e+13,"JPN",5.23e+14,0.14014913957935,-1.96504814067417,31.9255544393193,0.0570833333333333,9.895928337,0.29496175,2.52662,1.67292
"26","Kuwait",2001,457180900,"KWT",1.0701e+10,0.0427231940940099,-3.15301331900698,19.9405897129843,4.47451666666667,1.037286235,0.11386325,-0.407039,-0.219946
"27","Malaysia",2001,25385600000,"MYS",3.53e+11,0.07191388101983,-2.63228597280775,23.957447921072,3.37416666666667,17.79488881,0,0.615196,1.02967
"28","Moldova",2001,1967344168,"MDA",19051531000,0.103264360643772,-2.27046297067435,21.3999503320696,20.9333333333333,12.17120031,0.104649425,-0.058476,0.234091
"29","Mongolia",2001,119200661000,"MNG",1.39e+12,0.0857558712230216,-2.45625072620685,25.5040741368643,14.3,14.66205919,0.0436224,-0.735884,-1.25088
"30","Namibia",2001,787257000,"NAM",29929474400,0.026303736225986,-3.63804428806368,20.4840653096175,6.79416666666667,26.92156198,0.11356245,-0.753271,-0.913565
"31","New Zealand",2001,3059725711.04,"NZL",1.29e+11,0.0237188039615504,-3.74148712933004,21.841591111978,5.34950833333333,28.55763254,0.300484175,0.255177,0.402943
"32","Nicaragua",2001,2109700471,"NIC",71563317800,0.0294801937061672,-3.52403664091708,21.4698118174855,11.5594916576681,9.802508066,0.5535074,-0.75545,-0.816324
"33","Philippines",2001,244997652511.92,"PHL",3.89e+12,0.0629814016740154,-2.76491580769767,26.2245144658612,8.74416666666667,12.69319142,0.14152425,-0.067078,0.800768
"34","Romania",2001,3995554800,"ROU",1.17e+11,0.034150041025641,-3.37699149162957,22.1084482801146,26.8666666666667,16.63341608,0.106780875,0.441733,0.563413
"35","South Africa",2001,36138850000,"ZAF",1.05e+12,0.0344179523809524,-3.36917697919106,24.3106343009069,9.37083333333333,24.18558057,0.2287649,0.102827,0.520214
"36","Sri Lanka",2001,76561200000,"LKA",1.41e+12,0.0542987234042553,-2.91325456236916,25.0613562579495,10.78,14.62550039,0.254039025,-0.575275,-0.506081
"37","Sweden",2001,1.07111e+11,"SWE",2.48e+12,0.0431899193548387,-3.14214815922964,25.3971315168758,2.1725,27.93551434,0.140589175,1.98924,1.39253
"38","Thailand",2001,4.90239e+11,"THA",5.35e+12,0.0916334579439252,-2.38995881259719,26.9181588642393,2.54166666666667,13.07018898,0.181096625,0.393173,0.862254
"39","Ukraine",2001,20224200760.77,"UKR",2.04e+11,0.0991382390233824,-2.31124004907135,23.7301457817193,10.9888916666667,12.07313068,0.27404785,0.458828,0.569512
"40","Uruguay",2001,9448670320.42,"URY",2.78e+11,0.0339880227353237,-3.38174708891898,22.9691398617181,14.3179166666667,15.30598158,0.089706775,0.11815,0.439509
"41","Zambia",2001,431744000,"ZMB",14784761400,0.0292019592551558,-3.53351947417955,19.8833433779634,23.4083333333333,16.54070446,0.1740084,-1.10573,-0.919141
"42","Albania",2002,133128076371,"ALB",6.1e+11,0.21824274814918,-1.52214731208053,25.6145774820332,8.53833333333333,16.48423498,0.094000625,-0.01742,-0.222815
"43","Angola",2002,22974051206.3,"AGO",6.65e+11,0.0345474454230075,-3.36542167005465,23.8576312075476,48.6908333333333,15.53281183,0.032472675,-2.04759,-1.22607
"44","Argentina",2002,1.8802e+10,"ARG",3.13e+11,0.0600702875399361,-2.81223994338379,23.6572290841028,39.2484458175081,9.818958347,0.22531335,-0.048438,0.268286
"45","Australia",2002,3.3713e+10,"AUS",7.54e+11,0.0447122015915119,-3.10750884835806,24.2411493565963,3.65833333333333,23.52831212,0.07341065,-0.073102,0.34148
"46","Bangladesh",2002,1.44148e+11,"BGD",3.14e+12,0.0459070063694268,-3.08113752935049,25.6941063864982,7.9075,6.691384191,0.2508133,-1.03815,-1.00121
"47","Belarus",2002,71482701.38,"BLR",2613830000,0.0273478770157202,-3.59911637595254,18.0849660396511,26.85,14.20103832,0.0193274,0.722964,0.794905
"48","Bolivia",2002,3037420963.93,"BOL",56682329000,0.0535867353638556,-2.92645371608719,21.8342746251692,9.57995151332266,13.18410486,0.33022205,-0.836185,-0.631009
"49","Brazil",2002,4.9931e+10,"BRA",1.49e+12,0.0335107382550336,-3.39588934658829,24.6339078892976,19.1427279084507,15.7200793,0.3490374,0.450486,0.606053
"50","Bulgaria",2002,3627927000,"BGR",33806200000,0.107315433263721,-2.23198280684854,22.0119272477179,2.80316666666667,15.41408085,0.112494375,0.384387,0.403191
"51","Cambodia",2002,802802468800,"KHM",1.68e+13,0.0477858612380952,-3.04102547323722,27.4113745291005,2.49166666666667,8.172911274,0.188525125,-1.04947,-0.724653
"52","Canada",2002,41146671000,"CAN",1.19e+12,0.0345770344537815,-3.36456556140446,24.4404088616475,0.829166666666667,13.42525802,0.19201015,0.89244,1.13946
"53","Chile",2002,1.786186e+12,"CHL",4.8e+13,0.0372122083333333,-3.29111839053906,28.2111037362974,3.79964441956622,16.20169514,0.015437825,-0.089827,-0.153392
"54","Costa Rica",2002,249870216583,"CRI",5.94e+12,0.0420656930274411,-3.16852276295898,26.2442074863441,11.4583333330556,13.42806575,0.109533075,0.102606,0.047125
"55","Croatia",2002,10895791618.5,"HRV",2.12e+11,0.0513952434834906,-2.96820965003474,23.1116424615837,1.88916666666667,22.07431497,0.0586476,0.638124,0.708947
"56","Czech Republic",2002,2.24402e+11,"CZE",2.68e+12,0.0837320895522388,-2.48013298724011,26.1367049232112,1.9975,14.61554927,0.236019775,1.56631,1.19501
"57","Dominican Republic",2002,24439900000,"DOM",4.77e+11,0.0512366876310273,-2.97129944824635,23.9194828795884,16.54,13.21672761,0.093796425,-0.541407,-0.386812
"58","Georgia",2002,417178287,"GEO",7456100000,0.0559512730515953,-2.88327409110334,19.8490242351536,5.88956413920152,7.616582396,0.045329675,0.138305,0.363946
"59","Ghana",2002,494440000,"GHA",4886200000,0.101191109655765,-2.29074437523908,20.0189363669839,16.2083333333333,17.49311121,0.098923725,-1.13735,-1.75836
"60","Guatemala",2002,9999552963.38,"GTM",1.63e+11,0.0613469506955828,-2.79120981247396,23.0258062252792,6.915,11.88054915,0.516488475,-0.397476,-0.275405
"61","Hungary",2002,1.279588e+12,"HUN",1.75e+13,0.0731193142857143,-2.61566272981082,27.8775592670472,7.32027178649307,20.74522526,0.0555988,1.06683,1.21221
"62","Indonesia",2002,98390867400000,"IDN",1.82e+15,0.0540609161538462,-2.91764379129545,32.2199691047039,15.5025,11.82695959,0.21622305,-0.011234,0.51608
"63","Israel",2002,18004337942,"ISR",5.73e+11,0.0314211831448517,-3.46027299107586,23.6138785625853,6.03364166666667,25.73076705,0.19824425,1.10809,1.06623
