country,year,cic,gdp,cd,debt_gdp_2,tax_gdp,interest_rates_imf,urbanization,crime,region,development
United States,1918,4.370333333,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1919,4.728,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1920,5.190333333,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1921,4.664333333,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1922,4.246833333,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1923,4.53375,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1924,4.591583333,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1925,4.580416667,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1926,4.644416667,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1927,4.605,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1928,4.495416667,NA,NA,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1929,4.474916667,104.556,0.042799234,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1930,4.2585,92.16,0.046207682,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1931,4.669833333,77.391,0.06034078,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1932,5.328083333,59.522,0.089514521,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1933,5.57525,57.154,0.097547853,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1934,5.40225,66.8,0.080872006,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1935,5.584416667,74.241,0.075220116,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1936,6.102666667,84.83,0.071939958,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1937,6.474416667,93.003,0.069615138,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1938,6.505083333,87.352,0.07446977,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1939,7.056083333,93.437,0.075517015,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1940,7.87775,102.899,0.076558081,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1941,9.588,129.309,0.074147971,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1942,12.67925,165.952,0.076403117,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1943,17.60666667,203.084,0.086696474,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1944,22.55058333,224.447,0.100471752,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1945,26.84683333,228.007,0.117745654,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1946,28.28991667,227.535,0.124332154,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1947,28.42025,249.616,0.113855883,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1948,28.06366667,274.468,0.102247499,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1949,27.5185,272.475,0.100994587,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1950,27.17333333,299.827,0.090630041,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1951,27.736,346.914,0.079950651,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1952,29.06258333,367.341,0.079116089,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1953,30.13358333,389.218,0.077420837,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1954,30.02816667,390.549,0.076887066,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1955,30.24858333,425.478,0.071093178,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1956,30.68625,449.353,0.068289852,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1957,31.00275,474.039,0.065401264,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1958,31.17616667,481.229,0.064784472,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1959,31.79208333,521.654,0.060944771,NA,NA,NA,NA,NA,North America,High-Income Economies
United States,1960,32.0555,542.382,0.059101334,NA,NA,NA,69.996,NA,North America,High-Income Economies
United States,1961,32.50275,562.21,0.057812472,NA,NA,NA,70.377,NA,North America,High-Income Economies
United States,1962,33.76741667,603.921,0.055913632,NA,NA,NA,70.757,NA,North America,High-Income Economies
United States,1963,35.4965,637.451,0.055685064,NA,NA,NA,71.134,NA,North America,High-Income Economies
United States,1964,37.70666667,684.46,0.055089657,NA,NA,NA,71.508,NA,North America,High-Income Economies
United States,1965,39.884,742.289,0.053731094,NA,NA,NA,71.879,NA,North America,High-Income Economies
United States,1966,42.50716667,813.414,0.052257727,NA,NA,NA,72.247,NA,North America,High-Income Economies
United States,1967,44.75825,859.958,0.052047019,NA,NA,NA,72.612,NA,North America,High-Income Economies
United States,1968,47.72908333,940.651,0.05074048,NA,NA,NA,72.974,NA,North America,High-Income Economies
United States,1969,50.87941667,1017.615,0.04999869,NA,NA,NA,73.333,NA,North America,High-Income Economies
United States,1970,54.17308333,1073.303,0.050473243,NA,NA,NA,73.602,NA,North America,High-Income Economies
